source	target
A PRELIMINARY-STUDY ON THE EFFECT OF ANTIINFLAMMATORY TREATMENT IN CYSTIC-FIBROSIS PATIENTS WITH PSEUDOMONAS-AERUGINOSA LUNG INFECTION	University of Buenos Aires
Antimicrobial chemotherapy in cystic fibrosis patients	hoiby n
ANTIPSEUDOMONAL THERAPY IN CYSTIC-FIBROSIS - AZTREONAM AND AMIKACIN VERSUS CEFTAZIDIME AND AMIKACIN ADMINISTERED INTRAVENOUSLY FOLLOWED BY ORAL CIPROFLOXACIN	buehlmann u
ANTIPSEUDOMONAL THERAPY IN CYSTIC-FIBROSIS - AZTREONAM AND AMIKACIN VERSUS CEFTAZIDIME AND AMIKACIN ADMINISTERED INTRAVENOUSLY FOLLOWED BY ORAL CIPROFLOXACIN	guenin k
ANTIPSEUDOMONAL THERAPY IN CYSTIC-FIBROSIS - AZTREONAM AND AMIKACIN VERSUS CEFTAZIDIME AND AMIKACIN ADMINISTERED INTRAVENOUSLY FOLLOWED BY ORAL CIPROFLOXACIN	kraemer r
ANTIPSEUDOMONAL THERAPY IN CYSTIC-FIBROSIS - AZTREONAM AND AMIKACIN VERSUS CEFTAZIDIME AND AMIKACIN ADMINISTERED INTRAVENOUSLY FOLLOWED BY ORAL CIPROFLOXACIN	schaad ub
ANTIPSEUDOMONAL THERAPY IN CYSTIC-FIBROSIS - AZTREONAM AND AMIKACIN VERSUS CEFTAZIDIME AND AMIKACIN ADMINISTERED INTRAVENOUSLY FOLLOWED BY ORAL CIPROFLOXACIN	wedgwoodkrucko j
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	accurso fj
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	burns jl
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	campbel pw
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	cibene da
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	Columbia Univ Coll Phys & Surg
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	"Columbia Univ Coll Phys & Surg, Dept Pediat, New York, NY 10032 USA"
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	Columbia University
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	coquillette s
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	Cyst Fibrosis Fdn
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	"Cyst Fibrosis Fdn, Bethesda, MD USA"
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	Cyst Fibrosis Therapeut Dev Network Coordinating
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	"Cyst Fibrosis Therapeut Dev Network Coordinating, Seattle, WA USA"
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	Cyst Fibrosis Therapeut Dev Network Resource Ctr
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	"Cyst Fibrosis Therapeut Dev Network Resource Ctr, Denver, CO USA"
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	"Cyst Fibrosis Therapeut Dev Network Resource Ctr, Seattle, WA USA"
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	fieberg ay
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	Florida State University System
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	macrolide study grp
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	marshall bc
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	mayer-hamblett n
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	quittner al
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	saiman l
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	Univ Colorado
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	"Univ Colorado, Dept Pediat, Denver, CO 80202 USA"
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	Univ Florida
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	"Univ Florida, Dept Pediat, Dept Clin & Hlth Psychol, Gainesville, FL USA"
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	Univ Utah
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	"Univ Utah, Dept Internal Med, Salt Lake City, UT 84112 USA"
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	Univ Washington
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	"Univ Washington, Dept Biostat, Seattle, WA 98195 USA"
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	"Univ Washington, Dept Pediat, Seattle, WA 98195 USA"
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	University of Colorado Denver
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	University of Colorado System
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	University of Florida
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	University of Utah
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	University of Washington
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	University of Washington Seattle
"Azithromycin in, patients with cystic fibrosis chronically infected with Pseudomonas aeruginosa - A randomized controlled trial"	Utah System of Higher Education
"BRONCHOALVEOLAR LAVAGE FINDINGS IN CYSTIC-FIBROSIS PATIENTS WITH STABLE, CLINICALLY MILD LUNG-DISEASE SUGGEST ONGOING INFECTION AND INFLAMMATION"	berger m
"BRONCHOALVEOLAR LAVAGE FINDINGS IN CYSTIC-FIBROSIS PATIENTS WITH STABLE, CLINICALLY MILD LUNG-DISEASE SUGGEST ONGOING INFECTION AND INFLAMMATION"	hilliard ka
"BRONCHOALVEOLAR LAVAGE FINDINGS IN CYSTIC-FIBROSIS PATIENTS WITH STABLE, CLINICALLY MILD LUNG-DISEASE SUGGEST ONGOING INFECTION AND INFLAMMATION"	konstan mw
"BRONCHOALVEOLAR LAVAGE FINDINGS IN CYSTIC-FIBROSIS PATIENTS WITH STABLE, CLINICALLY MILD LUNG-DISEASE SUGGEST ONGOING INFECTION AND INFLAMMATION"	norvell tm
CHARACTERIZATION OF MICROSTRUCTURAL ANISOTROPY IN ORTHOTROPIC MATERIALS USING A 2ND RANK TENSOR	harrigan tp
CHARACTERIZATION OF MICROSTRUCTURAL ANISOTROPY IN ORTHOTROPIC MATERIALS USING A 2ND RANK TENSOR	mann rw
CHLOROPLAST GENE ORGANIZATION DEDUCED FROM COMPLETE SEQUENCE OF LIVERWORT MARCHANTIA-POLYMORPHA CHLOROPLAST DNA	aota s
CHLOROPLAST GENE ORGANIZATION DEDUCED FROM COMPLETE SEQUENCE OF LIVERWORT MARCHANTIA-POLYMORPHA CHLOROPLAST DNA	chang z
CHLOROPLAST GENE ORGANIZATION DEDUCED FROM COMPLETE SEQUENCE OF LIVERWORT MARCHANTIA-POLYMORPHA CHLOROPLAST DNA	fukuzawa h
CHLOROPLAST GENE ORGANIZATION DEDUCED FROM COMPLETE SEQUENCE OF LIVERWORT MARCHANTIA-POLYMORPHA CHLOROPLAST DNA	inokuchi h
CHLOROPLAST GENE ORGANIZATION DEDUCED FROM COMPLETE SEQUENCE OF LIVERWORT MARCHANTIA-POLYMORPHA CHLOROPLAST DNA	kohchi t
CHLOROPLAST GENE ORGANIZATION DEDUCED FROM COMPLETE SEQUENCE OF LIVERWORT MARCHANTIA-POLYMORPHA CHLOROPLAST DNA	KYOTO UNIV
CHLOROPLAST GENE ORGANIZATION DEDUCED FROM COMPLETE SEQUENCE OF LIVERWORT MARCHANTIA-POLYMORPHA CHLOROPLAST DNA	"KYOTO UNIV,FAC SCI,DEPT BIOPHYS,KYOTO 606,JAPAN"
CHLOROPLAST GENE ORGANIZATION DEDUCED FROM COMPLETE SEQUENCE OF LIVERWORT MARCHANTIA-POLYMORPHA CHLOROPLAST DNA	Kyoto University
CHLOROPLAST GENE ORGANIZATION DEDUCED FROM COMPLETE SEQUENCE OF LIVERWORT MARCHANTIA-POLYMORPHA CHLOROPLAST DNA	ohyama k
CHLOROPLAST GENE ORGANIZATION DEDUCED FROM COMPLETE SEQUENCE OF LIVERWORT MARCHANTIA-POLYMORPHA CHLOROPLAST DNA	ozeki h
CHLOROPLAST GENE ORGANIZATION DEDUCED FROM COMPLETE SEQUENCE OF LIVERWORT MARCHANTIA-POLYMORPHA CHLOROPLAST DNA	sano s
CHLOROPLAST GENE ORGANIZATION DEDUCED FROM COMPLETE SEQUENCE OF LIVERWORT MARCHANTIA-POLYMORPHA CHLOROPLAST DNA	sano t
CHLOROPLAST GENE ORGANIZATION DEDUCED FROM COMPLETE SEQUENCE OF LIVERWORT MARCHANTIA-POLYMORPHA CHLOROPLAST DNA	shiki y
CHLOROPLAST GENE ORGANIZATION DEDUCED FROM COMPLETE SEQUENCE OF LIVERWORT MARCHANTIA-POLYMORPHA CHLOROPLAST DNA	shirai h
CHLOROPLAST GENE ORGANIZATION DEDUCED FROM COMPLETE SEQUENCE OF LIVERWORT MARCHANTIA-POLYMORPHA CHLOROPLAST DNA	takeuchi m
CHLOROPLAST GENE ORGANIZATION DEDUCED FROM COMPLETE SEQUENCE OF LIVERWORT MARCHANTIA-POLYMORPHA CHLOROPLAST DNA	umesono k
Chronic Pseudomonas aeruginosa lung infection in cystic fibrosis. A longitudinal study of immune complex activity and inflammatory response in sputum sol-phase of cystic fibrosis patients with chronic Pseudomonas aeruginosa lung infections: influence of local steroid treatment.	faer o
Chronic Pseudomonas aeruginosa lung infection in cystic fibrosis. A longitudinal study of immune complex activity and inflammatory response in sputum sol-phase of cystic fibrosis patients with chronic Pseudomonas aeruginosa lung infections: influence of local steroid treatment.	flensborg ew
Chronic Pseudomonas aeruginosa lung infection in cystic fibrosis. A longitudinal study of immune complex activity and inflammatory response in sputum sol-phase of cystic fibrosis patients with chronic Pseudomonas aeruginosa lung infections: influence of local steroid treatment.	hiby n
Chronic Pseudomonas aeruginosa lung infection in cystic fibrosis. A longitudinal study of immune complex activity and inflammatory response in sputum sol-phase of cystic fibrosis patients with chronic Pseudomonas aeruginosa lung infections: influence of local steroid treatment.	husby s
Chronic Pseudomonas aeruginosa lung infection in cystic fibrosis. A longitudinal study of immune complex activity and inflammatory response in sputum sol-phase of cystic fibrosis patients with chronic Pseudomonas aeruginosa lung infections: influence of local steroid treatment.	jacobsen sv
Chronic Pseudomonas aeruginosa lung infection in cystic fibrosis. A longitudinal study of immune complex activity and inflammatory response in sputum sol-phase of cystic fibrosis patients with chronic Pseudomonas aeruginosa lung infections: influence of local steroid treatment.	jrgensen m
Chronic Pseudomonas aeruginosa lung infection in cystic fibrosis. A longitudinal study of immune complex activity and inflammatory response in sputum sol-phase of cystic fibrosis patients with chronic Pseudomonas aeruginosa lung infections: influence of local steroid treatment.	nielsen h
Chronic Pseudomonas aeruginosa lung infection in cystic fibrosis. A longitudinal study of immune complex activity and inflammatory response in sputum sol-phase of cystic fibrosis patients with chronic Pseudomonas aeruginosa lung infections: influence of local steroid treatment.	schitz po
Chronic Pseudomonas aeruginosa lung infection in cystic fibrosis. A longitudinal study of immune complex activity and inflammatory response in sputum sol-phase of cystic fibrosis patients with chronic Pseudomonas aeruginosa lung infections: influence of local steroid treatment.	svehag se
Clinical trials in cystic fibrosis.	doring gerd
CLONING AND CHARACTERIZATION OF A 2ND MEMBER OF THE MOUSE MDR GENE FAMILY	bell j
CLONING AND CHARACTERIZATION OF A 2ND MEMBER OF THE MOUSE MDR GENE FAMILY	gros p
CLONING AND CHARACTERIZATION OF A 2ND MEMBER OF THE MOUSE MDR GENE FAMILY	housman d
CLONING AND CHARACTERIZATION OF A 2ND MEMBER OF THE MOUSE MDR GENE FAMILY	Massachusetts Institute of Technology (MIT)
CLONING AND CHARACTERIZATION OF A 2ND MEMBER OF THE MOUSE MDR GENE FAMILY	MIT
CLONING AND CHARACTERIZATION OF A 2ND MEMBER OF THE MOUSE MDR GENE FAMILY	"MIT,CTR CANC RES,CAMBRIDGE,MA 02139"
CLONING AND CHARACTERIZATION OF A 2ND MEMBER OF THE MOUSE MDR GENE FAMILY	raymond m
"Cystic Fibrosis Foundation Consensus Conference on Infection Control Participants. Infection control recommendations for patients with cystic fibrosis: microbiology, important pathogens, and infection control practices to prevent patient-to-patient transmission"	saiman l
Cystic fibrosis.	colin a a
CYSTIC-FIBROSIS	wood re
Effect of rbDNase on airflow obstruction and mucoiliary clearance in cystic fibrosis	auci rm
Effect of rbDNase on airflow obstruction and mucoiliary clearance in cystic fibrosis	christiansen dh
Effect of rbDNase on airflow obstruction and mucoiliary clearance in cystic fibrosis	fuchs hj
Effect of rbDNase on airflow obstruction and mucoiliary clearance in cystic fibrosis	GENENTECH INC
Effect of rbDNase on airflow obstruction and mucoiliary clearance in cystic fibrosis	"GENENTECH INC,S SAN FRANCISCO,CA 94080"
Effect of rbDNase on airflow obstruction and mucoiliary clearance in cystic fibrosis	JOHNS HOPKINS MED INST
Effect of rbDNase on airflow obstruction and mucoiliary clearance in cystic fibrosis	"JOHNS HOPKINS MED INST,DEPT ENVIRONM HLTH SCI,BALTIMORE,MD 21205"
Effect of rbDNase on airflow obstruction and mucoiliary clearance in cystic fibrosis	"JOHNS HOPKINS MED INST,DEPT PEDIAT,BALTIMORE,MD 21205"
Effect of rbDNase on airflow obstruction and mucoiliary clearance in cystic fibrosis	Johns Hopkins University
Effect of rbDNase on airflow obstruction and mucoiliary clearance in cystic fibrosis	laube bl
Effect of rbDNase on airflow obstruction and mucoiliary clearance in cystic fibrosis	lucas mk
Effect of rbDNase on airflow obstruction and mucoiliary clearance in cystic fibrosis	Roche Holding
Effect of rbDNase on airflow obstruction and mucoiliary clearance in cystic fibrosis	rosenstein bj
Effect of rbDNase on airflow obstruction and mucoiliary clearance in cystic fibrosis	shields de
FDA	2009 Annual Data Report to the Center Directors
FDA	Antibiotic therapy against Pseudomonas aeruginosa in cystic fibrosis: a European consensus
FDA	Current understanding of the inflammatory process in cystic fibrosis: Onset and etiology
FDA	Cystic fibrosis
FDA	Cystic fibrosis pulmonary exacerbations
FDA	Cystic fibrosis pulmonary guidelines - Chronic medications for maintenance of lung health
FDA	Defective function of the cystic fibrosis-causing missense mutation G551D is recovered by genistein.
FDA	Determination of the Minimal Clinically Important Difference Scores for the Cystic Fibrosis Questionnaire-Revised Respiratory Symptom Scale in Two Populations of Patients With Cystic Fibrosis and Chronic Pseudomonas aeruginosa Airway Infection
FDA	Effect of aerosolized recombinant human DNase on exacerbations of respiratory symptoms and on pulmonary function in patients with cystic fibrosis. The Pulmozyme Study Group.
FDA	Growth and nutritional indexes in early life predict pulmonary function in cystic fibrosis
FDA	IDENTIFICATION OF THE CYSTIC-FIBROSIS GENE - CLONING AND CHARACTERIZATION OF COMPLEMENTARY-DNA
FDA	Longitudinal analysis of pulmonary function decline in patients with cystic fibrosis.
FDA	Standardisation of spirometry
FDA	Stature as a prognostic factor in cystic fibrosis survival
FDA	The prevalence of cystic fibrosis in the European Union
FERTILITY IN MALES WITH CYSTIC-FIBROSIS	taussig lm
FEV6 is an acceptable surrogate for FVC in the spirometric diagnosis of airway obstruction and restriction	beckert le
FEV6 is an acceptable surrogate for FVC in the spirometric diagnosis of airway obstruction and restriction	cardno la
FEV6 is an acceptable surrogate for FVC in the spirometric diagnosis of airway obstruction and restriction	Christchurch Hosp
FEV6 is an acceptable surrogate for FVC in the spirometric diagnosis of airway obstruction and restriction	"Christchurch Hosp, Physiol Resp Lab, Canterbury Hlth Ltd, Christchurch 8001, New Zealand"
FEV6 is an acceptable surrogate for FVC in the spirometric diagnosis of airway obstruction and restriction	crapo ro
FEV6 is an acceptable surrogate for FVC in the spirometric diagnosis of airway obstruction and restriction	crichton da
FEV6 is an acceptable surrogate for FVC in the spirometric diagnosis of airway obstruction and restriction	jensen rl
FEV6 is an acceptable surrogate for FVC in the spirometric diagnosis of airway obstruction and restriction	Latter Day St Hosp
FEV6 is an acceptable surrogate for FVC in the spirometric diagnosis of airway obstruction and restriction	"Latter Day St Hosp, Dept Med, Salt Lake City, UT 84143 USA"
FEV6 is an acceptable surrogate for FVC in the spirometric diagnosis of airway obstruction and restriction	"Latter Day St Hosp, Div Pulm, Salt Lake City, UT 84143 USA"
FEV6 is an acceptable surrogate for FVC in the spirometric diagnosis of airway obstruction and restriction	swanney mp
FEV6 is an acceptable surrogate for FVC in the spirometric diagnosis of airway obstruction and restriction	Univ Utah
FEV6 is an acceptable surrogate for FVC in the spirometric diagnosis of airway obstruction and restriction	"Univ Utah, Sch Med, Salt Lake City, UT USA"
FEV6 is an acceptable surrogate for FVC in the spirometric diagnosis of airway obstruction and restriction	University of Utah
FEV6 is an acceptable surrogate for FVC in the spirometric diagnosis of airway obstruction and restriction	Utah System of Higher Education
HOME TREATMENT OF PULMONARY INFECTIONS IN CYSTIC-FIBROSIS	kuzemko ja
http://www.ncbi.nlm.nih.gov/pubmed/10023791	colombo jl
http://www.ncbi.nlm.nih.gov/pubmed/10023791	hordvik nl
http://www.ncbi.nlm.nih.gov/pubmed/10023791	judy cg
http://www.ncbi.nlm.nih.gov/pubmed/10023791	sammut ph
http://www.ncbi.nlm.nih.gov/pubmed/10023791	Univ Nebraska
http://www.ncbi.nlm.nih.gov/pubmed/10023791	"Univ Nebraska, Med Ctr, Dept Pediat Pulm, Omaha, NE 68198 USA"
http://www.ncbi.nlm.nih.gov/pubmed/10023791	University of Nebraska Medical Center
http://www.ncbi.nlm.nih.gov/pubmed/10023791	University of Nebraska Omaha
http://www.ncbi.nlm.nih.gov/pubmed/10023791	University of Nebraska System
http://www.ncbi.nlm.nih.gov/pubmed/10036689	erdman sh
http://www.ncbi.nlm.nih.gov/pubmed/10036689	Univ Arizona
http://www.ncbi.nlm.nih.gov/pubmed/10036689	"Univ Arizona, Arizona Hlth Sci Ctr, Dept Pediat, Steele Mem Res Ctr, Tucson, AZ 85724 USA"
http://www.ncbi.nlm.nih.gov/pubmed/10036689	University of Arizona
http://www.ncbi.nlm.nih.gov/pubmed/10052554	christensson ba
http://www.ncbi.nlm.nih.gov/pubmed/10052554	"Department of Infectious Diseases, Lund University Hospital, Sweden."
http://www.ncbi.nlm.nih.gov/pubmed/10052554	eriksson l
http://www.ncbi.nlm.nih.gov/pubmed/10052554	ljungberg b
http://www.ncbi.nlm.nih.gov/pubmed/10052554	nilsson-ehle i
http://www.ncbi.nlm.nih.gov/pubmed/10064324	Cornell Univ
http://www.ncbi.nlm.nih.gov/pubmed/10064324	"Cornell Univ, Div Nutr Sci, Ithaca, NY 14853 USA"
http://www.ncbi.nlm.nih.gov/pubmed/10064324	Cornell University
http://www.ncbi.nlm.nih.gov/pubmed/10064324	frongillo ea
http://www.ncbi.nlm.nih.gov/pubmed/10064326	stephensen cb
http://www.ncbi.nlm.nih.gov/pubmed/10064326	United States Department of Agriculture (USDA)
http://www.ncbi.nlm.nih.gov/pubmed/10064326	Univ Calif Davis
http://www.ncbi.nlm.nih.gov/pubmed/10064326	"Univ Calif Davis, USDA, Western Human Nutr Res Ctr, Dept Nutr, Davis, CA 95616 USA"
http://www.ncbi.nlm.nih.gov/pubmed/10064326	University of California Davis
http://www.ncbi.nlm.nih.gov/pubmed/10064326	University of California System
http://www.ncbi.nlm.nih.gov/pubmed/10075341	corey m
http://www.ncbi.nlm.nih.gov/pubmed/10075341	Cystic Fibrosis Fdn
http://www.ncbi.nlm.nih.gov/pubmed/10075341	"Cystic Fibrosis Fdn, Bethesda, MD USA"
http://www.ncbi.nlm.nih.gov/pubmed/10075341	farrell pm
http://www.ncbi.nlm.nih.gov/pubmed/10075341	fitzsimmons sc
http://www.ncbi.nlm.nih.gov/pubmed/10075341	kosorok mr
http://www.ncbi.nlm.nih.gov/pubmed/10075341	lai hc
http://www.ncbi.nlm.nih.gov/pubmed/10075341	NIDDK NIH HHS
http://www.ncbi.nlm.nih.gov/pubmed/10075341	Univ Toronto
http://www.ncbi.nlm.nih.gov/pubmed/10075341	"Univ Toronto, Hosp Sick Children, Dept Pediat, Toronto, ON, Canada"
http://www.ncbi.nlm.nih.gov/pubmed/10075341	"Univ Toronto, Hosp Sick Children, Dept Publ Hlth Sci, Toronto, ON, Canada"
http://www.ncbi.nlm.nih.gov/pubmed/10075341	Univ Wisconsin
http://www.ncbi.nlm.nih.gov/pubmed/10075341	"Univ Wisconsin, Sch Med, Dept Biostat, Madison, WI 53792 USA"
http://www.ncbi.nlm.nih.gov/pubmed/10075341	"Univ Wisconsin, Sch Med, Dept Pediat, Madison, WI 53792 USA"
http://www.ncbi.nlm.nih.gov/pubmed/10075341	University of Toronto
http://www.ncbi.nlm.nih.gov/pubmed/10075341	University of Wisconsin Madison
http://www.ncbi.nlm.nih.gov/pubmed/10075341	University of Wisconsin System
http://www.ncbi.nlm.nih.gov/pubmed/10086931	conway sp
http://www.ncbi.nlm.nih.gov/pubmed/10086931	Seacroft Univ Hosp
http://www.ncbi.nlm.nih.gov/pubmed/10086931	"Seacroft Univ Hosp, CF Serv, Leeds LS14 6UH, W Yorkshire, England"
http://www.ncbi.nlm.nih.gov/pubmed/10086931	St James Hosp
http://www.ncbi.nlm.nih.gov/pubmed/10086931	"St James Hosp, CF Serv, Leeds LS14 6UH, W Yorkshire, England"
http://www.ncbi.nlm.nih.gov/pubmed/10090545	brand pl
http://www.ncbi.nlm.nih.gov/pubmed/10090545	"Department of Paediatric Pulmonology of Beatrix Children's Hospital, Groningen, The Netherlands."
http://www.ncbi.nlm.nih.gov/pubmed/10090545	duijvestijn yc
http://www.ncbi.nlm.nih.gov/pubmed/10099000	campana s
http://www.ncbi.nlm.nih.gov/pubmed/10099000	"Cystic Fibrosis Center, Meyer Hospital, University of Florence, Italy. meyer_fc@cesit1.unifi.it"
http://www.ncbi.nlm.nih.gov/pubmed/10099000	marianelli l
http://www.ncbi.nlm.nih.gov/pubmed/10099000	taccetti g
http://www.ncbi.nlm.nih.gov/pubmed/10100936	hauselmann hj
http://www.ncbi.nlm.nih.gov/pubmed/10100936	"Institute for Biomedical Engineering, University of Z•À__rich and Swiss Federal Institute of Technology (ETH). laib@biomed.ee.ethz.ch"
http://www.ncbi.nlm.nih.gov/pubmed/10100936	laib a
http://www.ncbi.nlm.nih.gov/pubmed/10100936	ruegsegger p
http://www.ncbi.nlm.nih.gov/pubmed/10190914	Childrens Hosp
http://www.ncbi.nlm.nih.gov/pubmed/10190914	Childrens Hosp & Med Ctr
http://www.ncbi.nlm.nih.gov/pubmed/10190914	"Childrens Hosp & Med Ctr, Dept Pediat, Seattle, WA 98105 USA"
http://www.ncbi.nlm.nih.gov/pubmed/10190914	Childrens Hosp Stanford
http://www.ncbi.nlm.nih.gov/pubmed/10190914	"Childrens Hosp Stanford, Dept Pediat, Palo Alto, CA USA"
http://www.ncbi.nlm.nih.gov/pubmed/10190914	"Childrens Hosp, Dept Pediat, Boston, MA 02115 USA"
http://www.ncbi.nlm.nih.gov/pubmed/10190914	"Childrens Hosp, Med Ctr, Dept Pediat, Cincinnati, OH 45229 USA"
http://www.ncbi.nlm.nih.gov/pubmed/10190914	Childrens Hospital & Research Center Oakland
http://www.ncbi.nlm.nih.gov/pubmed/10190914	Childrens Mem Hosp
http://www.ncbi.nlm.nih.gov/pubmed/10190914	"Childrens Mem Hosp, Dept Pediat, Chicago, IL 60614 USA"
http://www.ncbi.nlm.nih.gov/pubmed/10190914	doershuk cf
http://www.ncbi.nlm.nih.gov/pubmed/10190914	E Virginia Med Sch
http://www.ncbi.nlm.nih.gov/pubmed/10190914	"E Virginia Med Sch, Dept Pediat, Norfolk, VA USA"
